supplier              ,chain
Bilka Hillerød        ,Salling
Føtex Hillerød        ,Salling
Kvickly Helsinge      ,Coop
Nemlig.com            ,Nemlig
Netto Vejby           ,Salling
Rema Vejby            ,REMA 1000
Spar Karsemose        ,Dagrofa
Spar Vejby Strand     ,Dagrofa
Staples               ,Staples
SuperBest Allerød     ,SuperBest
Superbrugsen Gilleleje,Coop
